product_id,category_id,product_name,grade,quality,quantity_20,quantity_40,bulk_qty,commission,unit,del_place,country
24,1,NORMAL MAIZE/CORN,Clean,"Purity 99% max, Mositure below 12%",24,0,25,0.5,percent,Mumbai,101
25,1,SMALL YELLOW MAIZE,Clean,"Purity 99% max, Mositure below 12%",24,0,0,0.5,percent,Mumbai,101
26,1,GREEN MILLET,Clean,"Purity 99% max, Mositure below 12%",24,0,0,0.5,percent,Mumbai,101
27,1,CUMIN SEED - SINGAPORE QUALITY,Clean,"Purity 99% max, Mositure below 12%",14,27,0,0.5,percent,Mumbai,101
28,1,BLACK CUMIN SEED,Clean,"Purity 99% max, Mositure below 12%",17,0,0,0.5,percent,Mumbai,101
29,1,CORIANDER SEEDS - EAGLE QUALITY,Clean,"Purity 99% max, Mositure below 7%",10,20,0,0.5,percent,Mumbai,101
30,1,FENNEL SEED -COLOMBO,Clean,"Purity 99% max, Mositure below 7%",14,27,0,0.5,percent,Mumbai,101
31,1,CASSIA TORA,Clean,"Purity 99% max, Mositure below 12%",24,0,0,0.5,percent,Mumbai,101
32,1,CORIANDER SEEDS - SCOOTER QUALITY,Clean,"Purity 99% max, Mositure below 7%",10,20,0,0.5,percent,Mumbai,101
33,1,CORIANDER SEEDS - PARROT QUALITY,Clean,"Purity 99% max, Mositure below 7%",10,20,0,0.5,percent,Mumbai,101
34,1,CUMIN SEEDS - EUROPE QUALITY,Clean,"Purity 99% max, Mositure below 12%",14,27,0,0.5,percent,Mumbai,101
35,1,BROWN SESAME SEED (DS) - 3% FFA ,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Kolkata,101
36,1,BROWN SESAME SEED (DS) - 2% FFA ,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Kolkata,101
37,1,BROWN SESAME SEED (DS) - NO FFA ,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Kolkata,101
38,1,BROWN SESAME SEED (SS) - 3% FFA ,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Mumbai,101
39,1,BROWN SESAME SEED (SS) - 2% FFA ,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Mumbai,101
40,1,BROWN SESAME SEED (SS) - NO FFA ,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Mumbai,101
